,Unnamed: 0,ID,CNAE,CNAE_DESCRIPCION,IMPORT_EXPORT,TAM_EMPRESA,Estado,ACC_EXTRAN,ACC_EMPRESA,NUMACCIONISTAS,INFO_ADMIN,ACT_MEDIOS,CARGOS_ADMIN,MUJERES_CONSEJO,frmJuridica,codPostal,AÑO CONCESION,IMPORTE NOMINAL,ORGANISMO,ROA_1,LIQ_1,END_1,EMP_1,A-I-INM_INT_1,A-II-INM_MAT_1,A-III-INV_INM_1,A-IV-INV_GRU_1,A-V-INV_FLP_1,A-VI-IMP_DIF_1,A-VII-DEU_COM_1,B-II-EXISTENCIAS_1,B-III-DEU_COM_1,B-IV-DEU_COM_1,B-V-INV_FCP_1,B-VI-PER_CP_1,B-VII-EFECTIVO_1,A-PN-1_FP_1,A-PN-2_AJ_1,A-PN-3_SUBV_1,B-I-PROV_LP_1,B-II-DEU_LP_1,B-III-DEU_GRU_LP_1,B-IV-PAS_IMP_DIF_1,B-V-PER_LP_1,B-VI-ACREE_COM_LP_1,B-VII-DEU_ESP_LP_1,C-I-PAS_VINACTNCVENTA_1,C-II-PROV_CP_1,C-III-DEU_CP_1,C-IV-DEU_GRU_CP_1,C-V-ACREE_COM_CP_1,C-VI-PER_CP_1,C-VII-DEU_ESP_CP_1,VENTAS_FINAL,A-1-VENTAS_3,A-1-VENTAS_2,A-1-VENTAS_1,A-4-APROVISIONA_1,A-5-OTROSINGRESOS_1,A-6-GASTOSPERSONAL_1,A-7-OTROSGASTOS_1,A-8-AMORT_INM_1,A-13-OTROSRESULT_1,A-14-ING_FIN_1,A-15-GAS_FIN_1,A-17-DIF_CAMBIO_1,A-20-IMPUESTOS_1,ROA_23_diff,ROA_12_diff,LIQ_23_diff,LIQ_12_diff,END_23_diff,END_12_diff,EMP_23_diff,EMP_12_diff,A-I-INM_INT_23_diff,A-I-INM_INT_12_diff,A-II-INM_MAT_23_diff,A-II-INM_MAT_12_diff,A-III-INV_INM_23_diff,A-III-INV_INM_12_diff,A-IV-INV_GRU_23_diff,A-IV-INV_GRU_12_diff,A-V-INV_FLP_23_diff,A-V-INV_FLP_12_diff,A-VI-IMP_DIF_23_diff,A-VI-IMP_DIF_12_diff,A-VII-DEU_COM_23_diff,A-VII-DEU_COM_12_diff,B-II-EXISTENCIAS_23_diff,B-II-EXISTENCIAS_12_diff,B-III-DEU_COM_23_diff,B-III-DEU_COM_12_diff,B-IV-DEU_COM_23_diff,B-IV-DEU_COM_12_diff,B-V-INV_FCP_23_diff,B-V-INV_FCP_12_diff,B-VI-PER_CP_23_diff,B-VI-PER_CP_12_diff,B-VII-EFECTIVO_23_diff,B-VII-EFECTIVO_12_diff,A-PN-1_FP_12_diff,A-PN-1_FP_23_diff,A-PN-2_AJ_12_diff,A-PN-2_AJ_23_diff,A-PN-3_SUBV_12_diff,A-PN-3_SUBV_23_diff,B-I-PROV_LP_12_diff,B-I-PROV_LP_23_diff,B-II-DEU_LP_12_diff,B-II-DEU_LP_23_diff,B-III-DEU_GRU_LP_12_diff,B-III-DEU_GRU_LP_23_diff,B-IV-PAS_IMP_DIF_12_diff,B-IV-PAS_IMP_DIF_23_diff,B-V-PER_LP_12_diff,B-V-PER_LP_23_diff,B-VI-ACREE_COM_LP_12_diff,B-VI-ACREE_COM_LP_23_diff,B-VII-DEU_ESP_LP_12_diff,B-VII-DEU_ESP_LP_23_diff,C-I-PAS_VINACTNCVENTA_12_diff,C-I-PAS_VINACTNCVENTA_23_diff,C-II-PROV_CP_12_diff,C-II-PROV_CP_23_diff,C-III-DEU_CP_12_diff,C-III-DEU_CP_23_diff,C-IV-DEU_GRU_CP_12_diff,C-IV-DEU_GRU_CP_23_diff,C-V-ACREE_COM_CP_12_diff,C-V-ACREE_COM_CP_23_diff,C-VI-PER_CP_12_diff,C-VI-PER_CP_23_diff,C-VII-DEU_ESP_CP_12_diff,C-VII-DEU_ESP_CP_23_diff,A-1-VENTAS_23_diff,A-1-VENTAS_12_diff,A-4-APROVISIONA_23_diff,A-4-APROVISIONA_12_diff,A-5-OTROSINGRESOS_23_diff,A-5-OTROSINGRESOS_12_diff,A-6-GASTOSPERSONAL_23_diff,A-6-GASTOSPERSONAL_12_diff,A-7-OTROSGASTOS_23_diff,A-7-OTROSGASTOS_12_diff,A-8-AMORT_INM_23_diff,A-8-AMORT_INM_12_diff,A-13-OTROSRESULT_23_diff,A-13-OTROSRESULT_12_diff,A-14-ING_FIN_23_diff,A-14-ING_FIN_12_diff,A-15-GAS_FIN_23_diff,A-15-GAS_FIN_12_diff,A-17-DIF_CAMBIO_23_diff,A-17-DIF_CAMBIO_12_diff,A-20-IMPUESTOS_23_diff,A-20-IMPUESTOS_12_diff,Subvencion,ALTO_CRECIMIENTO_CALCU,GACELA_CALCU,MODELO_CALCU,Inicio Actividad,ULT_ACTOMERCANTIL_Y
0,0,100017,7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,Nada,Microempresa,Viva,0.0,0.0,0.0,SI,Activa en Redes,1.0,SI,A,18600.0,2017.0,370198.3,ANDALUCIA - AGENCIA DE INNOVACION Y DESARROLLO DE ANDALUCIA,-5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,49.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,51.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7529524417491222,4.878048780487805,-0.8791350273618123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,101.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285716,-0.5714285714285714,-0.2372881355932203,2.355555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,inf,0.0,-inf,0.0,0.0,0.0,-inf,0.0,4.857142857142857,3.666666666666667,-inf,0.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,inf,0.0,1.0,0.0,0.0,1.0,2016.0,2020.0
1,1,100017,7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,Nada,Microempresa,Viva,0.0,0.0,0.0,SI,Activa en Redes,1.0,SI,A,18600.0,2019.0,8800.0,ANDALUCIA - DIRECCION GENERAL DE POLITICAS ACTIVAS DE EMPLEO,-5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,49.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,51.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7529524417491222,4.878048780487805,-0.8791350273618123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,101.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285716,-0.5714285714285714,-0.2372881355932203,2.355555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,inf,0.0,-inf,0.0,0.0,0.0,-inf,0.0,4.857142857142857,3.666666666666667,-inf,0.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,inf,0.0,1.0,0.0,0.0,1.0,2016.0,2020.0
2,2,100017,7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,Nada,Microempresa,Viva,0.0,0.0,0.0,SI,Activa en Redes,1.0,SI,A,18600.0,2020.0,8000.0,ANDALUCIA - DIRECCION GENERAL DE POLITICAS ACTIVAS DE EMPLEO,-5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,49.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,51.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7529524417491222,4.878048780487805,-0.8791350273618123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,101.0,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285716,-0.5714285714285714,-0.2372881355932203,2.355555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,inf,0.0,-inf,0.0,0.0,0.0,-inf,0.0,4.857142857142857,3.666666666666667,-inf,0.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,inf,0.0,1.0,0.0,0.0,1.0,2016.0,2020.0
3,3,100020,2822,Fabricación de maquinaria de elevación y manipulación,Nada,Pequeña,Viva,0.0,0.0,1.0,SI,Activa en Redes,4.0,NO,A,18320.0,2020.0,146004.93,ANDALUCIA - AGENCIA DE INNOVACION Y DESARROLLO DE ANDALUCIA,66.96,220.37,0.05,28.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,28.0,700.0,3.0,0.0,0.0,445.0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,533.0,0.0,0.0,,3768.0,4419.0,2935.0,-1207.0,7.0,-741.0,-230.0,-1.0,3.0,0.0,-3.0,0.0,-198.0,-0.1124823695345555,-0.1529271206690561,0.921584139985108,-0.0249126469120116,-0.5365853658536586,7.199999999999999,-0.1891891891891891,0.3214285714285714,0.0,0.0,9.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0714285714285714,0.2760736196319018,0.3971428571428572,0.0,0.0,0.0,0.0,0.0,0.0,-0.0992537313432836,2.01123595505618,0.9234303215926494,0.536624203821656,0.0,0.0,0.0,-0.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-0.5,0.0,0.0,1.0318949343339583,-0.4469067405355493,0.0,0.0,0.0,0.0,-0.1473183978275628,0.5056218057921635,-0.2119205298013244,0.1259320629660314,11.916666666666666,0.7142857142857142,-0.0910425844346549,0.8380566801619433,-0.0634920634920634,0.6434782608695653,0.5,1.0,2.333333333333333,1.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,-0.0848484848484848,0.6666666666666667,1.0,0.0,0.0,0.0,2018.0,2019.0
4,4,100020,2822,Fabricación de maquinaria de elevación y manipulación,Nada,Pequeña,Viva,0.0,0.0,1.0,SI,Activa en Redes,4.0,NO,A,18320.0,2019.0,11000.0,ANDALUCIA - DIRECCION GENERAL DE POLITICAS ACTIVAS DE EMPLEO,66.96,220.37,0.05,28.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,28.0,700.0,3.0,0.0,0.0,445.0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,533.0,0.0,0.0,,3768.0,4419.0,2935.0,-1207.0,7.0,-741.0,-230.0,-1.0,3.0,0.0,-3.0,0.0,-198.0,-0.1124823695345555,-0.1529271206690561,0.921584139985108,-0.0249126469120116,-0.5365853658536586,7.199999999999999,-0.1891891891891891,0.3214285714285714,0.0,0.0,9.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0714285714285714,0.2760736196319018,0.3971428571428572,0.0,0.0,0.0,0.0,0.0,0.0,-0.0992537313432836,2.01123595505618,0.9234303215926494,0.536624203821656,0.0,0.0,0.0,-0.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-0.5,0.0,0.0,1.0318949343339583,-0.4469067405355493,0.0,0.0,0.0,0.0,-0.1473183978275628,0.5056218057921635,-0.2119205298013244,0.1259320629660314,11.916666666666666,0.7142857142857142,-0.0910425844346549,0.8380566801619433,-0.0634920634920634,0.6434782608695653,0.5,1.0,2.333333333333333,1.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,-0.0848484848484848,0.6666666666666667,1.0,0.0,0.0,0.0,2018.0,2019.0
5,5,100021,4778,Otro comercio al por menor de artículos nuevos en establecimientos especializados,Nada,Microempresa,Viva,0.0,0.0,1.0,SI,Activa en Redes y Medios,2.0,SI,A,24009.0,2020.0,105379.2,CASTILLA Y LEON - INSTITUTO PARA LA COMPETITIVIDAD EMPRESARIAL DE CASTILLA Y LEON,1.45,95.4,91.27,4.0,52.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,837.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,0.0,89.0,0.0,0.0,2907.0,1966.0,887.0,1290.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.3061224489795917,0.0137931034482758,0.2483036471586091,-0.0113207547169812,0.0514086878437534,-0.023885175851868,-0.1666666666666666,0.5,-0.1775700934579439,1.0576923076923077,-0.175,0.0256410256410255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1968641114982579,0.3105022831050228,0.0,0.0,0.0,0.0,0.0,0.0,0.1258405379442844,0.2437275985663083,0.6333333333333333,0.653061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2582197273456295,-0.1395793499043977,0.0,0.0,0.6067415730337078,-0.7342657342657343,0.0,0.0,0.0,0.0,1.216459977452086,-0.3124031007751938,4.744,-0.4646680942184154,0.0,0.0,-0.010204081632653,1.4197530864197532,-0.3732970027247956,-0.4801699716713881,0.4285714285714286,2.0625,0.0,0.0,inf,0.0,-inf,0.0,0.0,0.0,0.5,0.1999999999999999,1.0,0.0,0.0,1.0,2017.0,2022.0
6,6,100021,4778,Otro comercio al por menor de artículos nuevos en establecimientos especializados,Nada,Microempresa,Viva,0.0,0.0,1.0,SI,Activa en Redes y Medios,2.0,SI,A,24009.0,2020.0,90298.8,CASTILLA Y LEON - INSTITUTO PARA LA COMPETITIVIDAD EMPRESARIAL DE CASTILLA Y LEON,1.45,95.4,91.27,4.0,52.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,837.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,0.0,89.0,0.0,0.0,2907.0,1966.0,887.0,1290.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.3061224489795917,0.0137931034482758,0.2483036471586091,-0.0113207547169812,0.0514086878437534,-0.023885175851868,-0.1666666666666666,0.5,-0.1775700934579439,1.0576923076923077,-0.175,0.0256410256410255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1968641114982579,0.3105022831050228,0.0,0.0,0.0,0.0,0.0,0.0,0.1258405379442844,0.2437275985663083,0.6333333333333333,0.653061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2582197273456295,-0.1395793499043977,0.0,0.0,0.6067415730337078,-0.7342657342657343,0.0,0.0,0.0,0.0,1.216459977452086,-0.3124031007751938,4.744,-0.4646680942184154,0.0,0.0,-0.010204081632653,1.4197530864197532,-0.3732970027247956,-0.4801699716713881,0.4285714285714286,2.0625,0.0,0.0,inf,0.0,-inf,0.0,0.0,0.0,0.5,0.1999999999999999,1.0,0.0,0.0,1.0,2017.0,2022.0
7,7,100021,4778,Otro comercio al por menor de artículos nuevos en establecimientos especializados,Nada,Microempresa,Viva,0.0,0.0,1.0,SI,Activa en Redes y Medios,2.0,SI,A,24009.0,2020.0,19307.25,"MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO - COMPAÑIA ESPAÑOLA DE REAFIANZAMIENTO",1.45,95.4,91.27,4.0,52.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,837.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,0.0,89.0,0.0,0.0,2907.0,1966.0,887.0,1290.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.3061224489795917,0.0137931034482758,0.2483036471586091,-0.0113207547169812,0.0514086878437534,-0.023885175851868,-0.1666666666666666,0.5,-0.1775700934579439,1.0576923076923077,-0.175,0.0256410256410255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1968641114982579,0.3105022831050228,0.0,0.0,0.0,0.0,0.0,0.0,0.1258405379442844,0.2437275985663083,0.6333333333333333,0.653061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2582197273456295,-0.1395793499043977,0.0,0.0,0.6067415730337078,-0.7342657342657343,0.0,0.0,0.0,0.0,1.216459977452086,-0.3124031007751938,4.744,-0.4646680942184154,0.0,0.0,-0.010204081632653,1.4197530864197532,-0.3732970027247956,-0.4801699716713881,0.4285714285714286,2.0625,0.0,0.0,inf,0.0,-inf,0.0,0.0,0.0,0.5,0.1999999999999999,1.0,0.0,0.0,1.0,2017.0,2022.0
8,8,100021,4778,Otro comercio al por menor de artículos nuevos en establecimientos especializados,Nada,Microempresa,Viva,0.0,0.0,1.0,SI,Activa en Redes y Medios,2.0,SI,A,24009.0,2020.0,15000.0,"MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO - ICEX ESPAÑA EXPORTACION E INVERSIONES, EP E., M.P.",1.45,95.4,91.27,4.0,52.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,837.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,0.0,89.0,0.0,0.0,2907.0,1966.0,887.0,1290.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.3061224489795917,0.0137931034482758,0.2483036471586091,-0.0113207547169812,0.0514086878437534,-0.023885175851868,-0.1666666666666666,0.5,-0.1775700934579439,1.0576923076923077,-0.175,0.0256410256410255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1968641114982579,0.3105022831050228,0.0,0.0,0.0,0.0,0.0,0.0,0.1258405379442844,0.2437275985663083,0.6333333333333333,0.653061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2582197273456295,-0.1395793499043977,0.0,0.0,0.6067415730337078,-0.7342657342657343,0.0,0.0,0.0,0.0,1.216459977452086,-0.3124031007751938,4.744,-0.4646680942184154,0.0,0.0,-0.010204081632653,1.4197530864197532,-0.3732970027247956,-0.4801699716713881,0.4285714285714286,2.0625,0.0,0.0,inf,0.0,-inf,0.0,0.0,0.0,0.5,0.1999999999999999,1.0,0.0,0.0,1.0,2017.0,2022.0
9,9,100021,4778,Otro comercio al por menor de artículos nuevos en establecimientos especializados,Nada,Microempresa,Viva,0.0,0.0,1.0,SI,Activa en Redes y Medios,2.0,SI,A,24009.0,2020.0,6175.0,CASTILLA Y LEON - INSTITUTO PARA LA COMPETITIVIDAD EMPRESARIAL DE CASTILLA Y LEON,1.45,95.4,91.27,4.0,52.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,837.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,0.0,89.0,0.0,0.0,2907.0,1966.0,887.0,1290.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.3061224489795917,0.0137931034482758,0.2483036471586091,-0.0113207547169812,0.0514086878437534,-0.023885175851868,-0.1666666666666666,0.5,-0.1775700934579439,1.0576923076923077,-0.175,0.0256410256410255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1968641114982579,0.3105022831050228,0.0,0.0,0.0,0.0,0.0,0.0,0.1258405379442844,0.2437275985663083,0.6333333333333333,0.653061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2582197273456295,-0.1395793499043977,0.0,0.0,0.6067415730337078,-0.7342657342657343,0.0,0.0,0.0,0.0,1.216459977452086,-0.3124031007751938,4.744,-0.4646680942184154,0.0,0.0,-0.010204081632653,1.4197530864197532,-0.3732970027247956,-0.4801699716713881,0.4285714285714286,2.0625,0.0,0.0,inf,0.0,-inf,0.0,0.0,0.0,0.5,0.1999999999999999,1.0,0.0,0.0,1.0,2017.0,2022.0
10,10,100021,4778,Otro comercio al por menor de artículos nuevos en establecimientos especializados,Nada,Microempresa,Viva,0.0,0.0,1.0,SI,Activa en Redes y Medios,2.0,SI,A,24009.0,2020.0,1188.51,"MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO - COMPAÑIA ESPAÑOLA DE REAFIANZAMIENTO",1.45,95.4,91.27,4.0,52.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,837.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,0.0,89.0,0.0,0.0,2907.0,1966.0,887.0,1290.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.3061224489795917,0.0137931034482758,0.2483036471586091,-0.0113207547169812,0.0514086878437534,-0.023885175851868,-0.1666666666666666,0.5,-0.1775700934579439,1.0576923076923077,-0.175,0.0256410256410255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1968641114982579,0.3105022831050228,0.0,0.0,0.0,0.0,0.0,0.0,0.1258405379442844,0.2437275985663083,0.6333333333333333,0.653061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2582197273456295,-0.1395793499043977,0.0,0.0,0.6067415730337078,-0.7342657342657343,0.0,0.0,0.0,0.0,1.216459977452086,-0.3124031007751938,4.744,-0.4646680942184154,0.0,0.0,-0.010204081632653,1.4197530864197532,-0.3732970027247956,-0.4801699716713881,0.4285714285714286,2.0625,0.0,0.0,inf,0.0,-inf,0.0,0.0,0.0,0.5,0.1999999999999999,1.0,0.0,0.0,1.0,2017.0,2022.0
11,11,100046,6201,Actividades de programación informática,Importa y exporta,Pequeña,Viva,0.0,3.0,3.0,SI,Activa en Redes y Medios,6.0,NO,A,33510.0,2018.0,90505.0,PRINCIPADO DE ASTURIAS - INSTITUTO DE DESARROLLO ECONOMICO DEL PRINCIPADO DE ASTURIAS,1.39,126.58,37.26,70.0,326.0,94.0,0.0,0.0,8.0,1.0,0.0,0.0,1084.0,0.0,65.0,0.0,832.0,524.0,0.0,66.0,0.0,231.0,0.0,22.0,0.0,0.0,0.0,0.0,225.0,278.0,388.0,674.0,0.0,0.0,,3233.0,3037.0,938.0,-247.0,49.0,-595.0,-98.0,-15.0,0.0,0.0,-3.0,0.0,-5.0,0.163793103448276,-0.1654676258992805,1.2400388001790774,0.0587770579870439,0.1891344693774252,0.5907139023081054,0.0749999999999999,0.1428571428571428,0.0154696132596685,1.776073619631902,-0.2317880794701986,0.6063829787234043,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.0,1.1088929219600727,0.0,0.0,0.0,0.1607515657620042,0.7675276752767528,0.0,0.0,4.5,-0.9076923076923076,0.0,0.0,1.423452768729642,-0.6310096153846154,0.0591603053435114,0.0738738738738737,0.0,0.0,0.5,0.393939393939394,0.0,0.0,5.489177489177489,1.3442294863242163,0.0,0.0,0.5,0.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8129496402877696,-0.6994884910485933,0.0,0.0,-0.0267062314540059,-0.1402439024390244,0.0,0.0,0.0,0.0,0.0645373724069806,2.2377398720682304,0.0692041522491349,1.3400809716599191,0.6511976047904191,12.63265306122449,0.0952542372881355,3.957983193277311,-0.2569316081330869,4.520408163265306,0.5111111111111111,5.0,-1.0,inf,0.0,0.0,1.25,1.6666666666666663,-inf,0.0,2.6666666666666665,-0.4,1.0,0.0,0.0,0.0,2018.0,2021.0
12,12,100046,6201,Actividades de programación informática,Importa y exporta,Pequeña,Viva,0.0,3.0,3.0,SI,Activa en Redes y Medios,6.0,NO,A,33510.0,2019.0,63158.01,PRINCIPADO DE ASTURIAS - INSTITUTO DE DESARROLLO ECONOMICO DEL PRINCIPADO DE ASTURIAS,1.39,126.58,37.26,70.0,326.0,94.0,0.0,0.0,8.0,1.0,0.0,0.0,1084.0,0.0,65.0,0.0,832.0,524.0,0.0,66.0,0.0,231.0,0.0,22.0,0.0,0.0,0.0,0.0,225.0,278.0,388.0,674.0,0.0,0.0,,3233.0,3037.0,938.0,-247.0,49.0,-595.0,-98.0,-15.0,0.0,0.0,-3.0,0.0,-5.0,0.163793103448276,-0.1654676258992805,1.2400388001790774,0.0587770579870439,0.1891344693774252,0.5907139023081054,0.0749999999999999,0.1428571428571428,0.0154696132596685,1.776073619631902,-0.2317880794701986,0.6063829787234043,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.0,1.1088929219600727,0.0,0.0,0.0,0.1607515657620042,0.7675276752767528,0.0,0.0,4.5,-0.9076923076923076,0.0,0.0,1.423452768729642,-0.6310096153846154,0.0591603053435114,0.0738738738738737,0.0,0.0,0.5,0.393939393939394,0.0,0.0,5.489177489177489,1.3442294863242163,0.0,0.0,0.5,0.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8129496402877696,-0.6994884910485933,0.0,0.0,-0.0267062314540059,-0.1402439024390244,0.0,0.0,0.0,0.0,0.0645373724069806,2.2377398720682304,0.0692041522491349,1.3400809716599191,0.6511976047904191,12.63265306122449,0.0952542372881355,3.957983193277311,-0.2569316081330869,4.520408163265306,0.5111111111111111,5.0,-1.0,inf,0.0,0.0,1.25,1.6666666666666663,-inf,0.0,2.6666666666666665,-0.4,1.0,0.0,0.0,0.0,2018.0,2021.0
